Arctic_continuous,Arctic_discontinuous,Arctic_isolated,Arctic_no_permafrost,Arctic_sporadic
12.814824,19.799685,NA,-1.767273,20.748096
11.605135,19.898228,NA,-2.64742,19.473798
11.006557,NA,NA,NA,NA
25.011608,20.475359,NA,NA,24.555359
NA,26.991293,NA,13.965547,20.392054
13.584887,20.445774,NA,12.856903,1.99431
14.027037,20.016712,NA,NA,NA
23.73202,19.240728,NA,-2.479677,19.019764
23.818124,29.162101,NA,-1.483522,NA
28.19215,NA,NA,1.399762,23.622945
13.305557,NA,NA,9.059978,24.171764
11.253607,-0.610038,NA,13.758849,24.307527
23.817263,NA,14.066679,NA,7.069722
13.131937,14.20912,NA,0.824594,4.819636
10.856374,13.045586,7.432742,-2.928181,23.024828
11.216586,NA,2.492354,NA,NA
27.407916,NA,3.848261,14.130833,24.081638
22.907005,NA,1.833849,13.745635,2.871719
14.072464,NA,-0.9231,0.731359,19.225893
13.852168,NA,NA,-1.54168,23.094252
13.451656,NA,NA,NA,NA
24.381799,14.566119,NA,NA,23.94558
17.35205,-8.835485,NA,14.879434,3.610485
26.218595,26.905884,NA,13.949369,20.331914
12.985819,18.982081,NA,14.685538,23.092944
13.402212,21.844065,NA,13.718004,NA
14.089365,21.538658,NA,NA,NA
23.971545,21.060789,NA,2.208765,3.875399
23.973681,20.654956,NA,1.626148,22.830674
14.05334,19.796539,NA,NA,22.835778
27.290839,19.228407,NA,-0.249145,24.006981
14.895493,18.78859,NA,-0.017743,NA
20.727059,19.612476,NA,NA,6.477965
23.888358,20.914374,NA,NA,5.995989
11.179251,31.31935,NA,2.808139,22.331814
12.297667,2.288102,NA,3.210993,22.758486
29.071638,-5.440644,17.505287,13.736636,22.552456
NA,NA,1.994143,13.647868,22.46065
11.859614,NA,6.08995,NA,23.916768
22.619135,NA,21.311079,-0.518134,4.015625
NA,NA,21.123545,3.643037,22.302929
24.984378,NA,16.723914,13.623973,20.303641
26.722675,NA,NA,13.773886,23.662705
11.545133,13.25476,NA,14.10163,NA
12.241325,NA,NA,-1.620526,2.328788
24.576044,19.450667,NA,5.209528,2.130293
24.354906,19.357295,NA,13.733547,20.209765
11.703218,NA,NA,11.668256,22.411303
10.551682,NA,14.141733,13.864499,22.294577
NA,14.41435,18.231352,13.833052,23.448821
NA,13.622213,3.913128,13.866291,23.411339
23.420247,14.895,NA,0.549692,4.052259
23.00489,14.593116,NA,13.468568,2.577199
23.40103,14.897683,16.356328,13.441979,22.248545
14.923654,13.32581,19.57099,13.372369,22.296617
11.970755,18.961093,19.332436,NA,NA
15.363708,19.2519,21.975689,13.71764,20.826551
14.661416,19.443419,16.604616,13.849489,NA
26.674595,NA,19.33213,1.695072,5.040531
28.132914,-1.649086,14.953057,NA,3.123894
29.505549,13.818071,10.534157,13.406345,22.180716
29.096559,2.508185,19.74531,NA,22.220019
13.707731,NA,14.626737,NA,21.965368
12.458957,NA,NA,NA,21.029624
12.242751,13.962535,NA,NA,21.195404
23.318309,14.524419,NA,3.522607,20.146959
23.570245,-6.881277,NA,1.795503,NA
30.480132,18.996545,NA,14.169178,4.546043
21.321345,-2.81969,NA,13.346603,3.861736
NA,13.356333,NA,13.119934,22.006496
22.904362,NA,NA,-0.545632,22.160606
26.35738,NA,9.868374,13.289474,20.667508
12.34629,11.618785,17.38814,13.114976,2.568638
14.205785,13.452249,17.735391,NA,22.024951
25.446904,20.809967,16.469988,1.336965,NA
NA,19.504843,17.35223,13.355534,20.242417
10.679195,27.835121,17.865271,NA,5.006268
11.936123,NA,17.13915,NA,NA
27.975826,13.338224,12.399193,13.431663,NA
23.921841,13.979079,6.745856,13.578664,NA
11.723408,-8.276157,6.846972,13.934614,NA
25.450146,NA,2.565721,2.594929,NA
12.041925,NA,3.866195,13.271133,NA
16.789403,NA,-6.715301,NA,NA
28.104272,12.560479,20.841403,15.908378,NA
31.187834,-6.21559,14.239706,16.21954,NA
31.343577,NA,12.677754,9.956973,22.057762
12.045035,NA,17.621886,15.493697,22.0943
24.833532,19.08164,18.822514,15.397653,NA
31.069916,19.166597,NA,10.349048,NA
NA,19.055596,NA,NA,NA
10.893246,NA,NA,-1.102506,19.257481
10.997693,-0.83337,NA,3.110561,4.165052
21.77504,-4.987566,NA,13.155937,NA
25.400688,-0.974759,NA,13.260862,NA
28.371747,NA,NA,13.044214,NA
28.885921,NA,NA,10.464636,22.196307
29.111475,13.38586,NA,13.29631,14.630485
29.103305,14.301234,NA,NA,NA
27.812716,14.154965,NA,16.265574,NA
21.225115,13.44098,NA,15.630473,18.263386
28.48472,6.180413,NA,15.404195,19.525285
29.563365,14.109172,NA,10.172397,2.763587
30.762164,13.816384,NA,5.767249,NA
NA,14.121601,NA,0.454439,NA
11.717319,NA,NA,2.656112,NA
14.931378,-8.229881,NA,13.130306,22.465565
11.805709,18.657262,17.072899,13.332744,NA
24.805444,18.915974,17.618118,13.428445,21.925994
27.99329,18.692811,18.100896,13.674062,18.729646
28.958231,25.319913,18.19045,15.219646,15.939165
27.916702,-7.514249,10.358267,15.350398,18.684982
27.109901,NA,4.356143,15.043562,18.177623
29.211554,13.841551,2.770839,15.343432,19.03323
29.738658,NA,7.452176,15.288906,19.290621
NA,15.247876,2.373597,15.423186,4.407822
30.106947,19.864155,4.906781,15.166709,NA
30.035879,18.839163,5.883838,15.204912,NA
29.860363,18.653195,1.051603,14.813443,21.846653
NA,13.449695,18.152183,1.422736,21.873024
NA,13.87686,18.755173,6.741911,22.43721
NA,NA,20.606653,13.22006,NA
29.600195,12.90955,12.903678,13.607578,NA
29.682637,NA,NA,NA,13.82802
NA,NA,NA,9.668714,15.546007
11.641507,NA,NA,9.197683,12.480188
11.521902,32.66353,NA,15.173469,14.607125
11.019986,19.062419,NA,9.486445,18.494566
25.821151,20.39326,NA,15.28557,1.89445
28.695973,20.915062,NA,14.876934,4.659374
29.09103,NA,NA,3.782564,NA
28.996552,9.201687,NA,1.405606,NA
29.33814,8.60127,NA,13.105331,23.399393
31.250496,13.992419,NA,5.9919,22.966794
20.918269,NA,NA,9.187557,NA
12.028576,13.759447,10.493016,NA,16.443548
13.81694,14.50147,17.668306,14.821771,21.577463
24.967303,15.077752,17.94212,14.775181,21.20117
NA,14.076952,3.729126,14.552457,22.358162
28.915679,NA,0.642405,14.864544,19.04188
28.852651,14.531102,NA,14.459342,19.571332
28.537965,14.85789,17.970258,-0.362749,NA
28.441529,30.332807,17.991344,-1.654752,2.752473
28.503452,32.47628,NA,1.028801,-0.535503
24.959485,20.150418,1.092251,13.325078,NA
29.476501,NA,-0.407072,13.133184,NA
30.786405,12.403463,2.475229,NA,22.339166
30.818753,12.292642,17.944788,9.945634,NA
30.556413,10.19022,NA,8.135686,NA
30.598049,-7.865364,-4.216058,15.707161,NA
28.99635,15.28656,-4.579429,14.819914,NA
27.45729,NA,-3.619867,14.836126,NA
29.939733,-5.904505,-0.369821,NA,NA
20.816337,14.163697,4.672524,0.867523,23.031046
NA,-0.839143,2.117898,NA,23.192218
10.236048,14.463179,11.156324,13.116705,NA
25.824164,14.252575,1.089772,14.702718,21.660191
25.759317,NA,NA,14.736289,21.989864
30.742472,31.923764,18.04885,14.739563,17.31972
30.650827,32.900659,NA,9.279188,18.427849
30.55644,19.949857,2.529871,2.44273,18.58886
30.643406,13.799835,-3.656237,13.092159,2.202807
30.828929,13.937114,17.370239,13.128822,1.339244
30.770867,14.194393,17.459092,13.396296,1.579909
30.630293,14.403588,NA,13.359442,NA
NA,14.365708,NA,14.676295,NA
31.367967,32.894475,-1.480234,14.865759,NA
31.358253,29.75986,NA,NA,NA
27.726907,NA,17.155138,2.359321,22.638363
30.929044,19.798594,17.015813,-0.211062,21.714596
17.553822,14.261321,NA,3.4531,21.669176
9.985285,-11.910122,18.669483,NA,NA
NA,14.178227,18.711741,NA,18.027639
NA,31.605611,17.924686,12.963062,18.198542
29.178032,NA,NA,13.174127,18.68702
NA,19.180765,17.917016,13.200113,-2.039439
26.962565,NA,18.141128,14.734842,2.433182
30.511469,NA,18.44114,14.840068,3.814414
30.713993,NA,18.406782,9.171297,5.167052
31.18632,NA,NA,14.731511,2.802812
30.793902,14.99306,18.567342,14.720092,NA
30.878853,NA,19.049689,14.97807,NA
31.021633,13.864546,10.33403,15.058153,NA
30.863809,14.012392,18.047793,3.545603,15.096156
30.664711,13.592984,NA,1.40378,22.76613
29.240538,13.620563,18.322558,13.053605,15.341234
27.698942,13.465938,18.640376,14.808626,21.409078
27.347041,13.416832,18.463005,14.955597,21.426455
30.316907,13.904267,18.472,14.359043,15.347334
31.077613,14.391935,18.689599,13.664495,17.199989
NA,15.26176,18.269683,14.484655,17.212325
31.216187,NA,18.184448,14.44469,3.737876
31.243907,17.234119,18.399512,11.447083,5.806247
31.137828,16.036151,18.095256,14.643961,3.51535
30.833956,14.459961,18.545407,14.55302,2.699091
30.266244,NA,NA,-2.507036,NA
24.587992,33.377471,NA,0.036315,NA
9.747491,32.99923,18.576488,-0.846715,22.47621
20.260255,32.752589,18.608734,0.394087,22.625203
36.39506,32.8655,NA,NA,22.528159
34.181731,32.754394,NA,13.102073,23.323093
33.03905,31.693297,NA,9.253193,16.256578
36.642557,26.880199,17.789243,NA,NA
35.475382,20.06076,18.016615,14.661596,21.62365
NA,NA,18.648037,14.777892,14.309352
NA,NA,18.054451,14.792212,15.524025
24.696163,NA,17.9831,0.537385,15.837606
21.224163,NA,18.320331,13.812748,2.694704
NA,NA,NA,NA,3.025782
29.697957,15.585918,NA,12.970012,4.290955
30.831204,15.966821,18.180371,13.034078,8.920264
30.9493,NA,17.976227,NA,NA
30.462979,NA,18.300108,14.534542,NA
10.209462,NA,18.335113,3.012347,22.494644
28.919955,34.96787,18.115602,12.931909,22.134242
31.640699,34.677925,17.838423,13.057881,22.354153
31.612976,24.122784,18.325109,14.601428,NA
32.602858,24.732391,NA,NA,22.21494
40.886743,28.097741,0.152278,14.820727,21.969114
34.580918,19.785563,NA,-0.830594,22.494648
31.430758,19.936392,NA,NA,22.890886
32.436946,NA,-2.37084,12.96302,22.207016
33.925721,NA,-3.076934,14.777456,22.528618
34.079973,NA,-3.258371,-1.082144,22.741711
31.459015,15.58152,-2.833174,-0.320423,16.020031
NA,NA,NA,-2.319343,NA
31.183058,14.503591,NA,-0.001221,7.490154
31.044546,13.713571,-0.683194,0.829803,2.892401
NA,14.21968,-0.529908,1.572414,4.301816
NA,NA,-2.305369,0.198514,NA
26.396012,NA,NA,12.772046,22.305711
24.341252,12.996376,18.714615,NA,NA
27.318621,33.962684,20.98523,13.131964,22.101325
19.136628,35.255807,23.484857,14.732386,15.77688
9.717413,NA,17.427106,14.651191,14.807774
29.090525,26.590598,7.315138,14.566195,15.201581
32.157859,19.507579,18.600761,14.439287,22.197535
NA,NA,5.091407,-0.256466,NA
NA,15.463726,7.771909,2.771722,NA
NA,12.22671,17.435365,12.593762,22.522041
NA,34.767314,18.432792,12.886341,16.556838
NA,33.956034,NA,12.878837,6.810625
NA,NA,18.879676,13.044443,8.043465
NA,19.083543,18.683275,14.807995,NA
NA,20.034388,18.368699,14.675551,NA
NA,NA,18.097385,14.669611,22.263198
NA,NA,17.829216,6.993291,NA
NA,NA,18.61364,-0.785442,22.169469
25.003346,NA,18.751986,-2.715934,9.58676
27.984973,13.521466,18.514968,-0.172995,5.772986
27.235564,14.5175,18.661343,12.667354,NA
27.798667,15.259531,18.873763,11.344588,NA
9.945208,14.406307,18.453398,13.139085,NA
10.886545,14.9951,18.481968,12.607233,NA
11.215437,13.077507,18.662217,14.929133,14.971993
11.148525,1.698993,18.218434,14.863805,NA
31.314427,17.229866,17.448086,14.776871,-1.100683
NA,17.135204,18.595252,9.802206,3.666971
31.966428,34.598095,18.48831,-0.10139,NA
NA,34.456603,18.191832,-0.530709,NA
NA,24.64291,18.343241,-3.763305,5.418616
NA,20.154068,18.33145,12.684834,6.346789
NA,NA,18.504344,14.665457,NA
NA,NA,17.606123,NA,NA
25.495789,NA,18.305582,14.584507,-0.782536
24.898041,NA,18.552082,14.435308,3.834622
21.647962,NA,18.308,NA,4.046129
27.912643,15.17836,11.41691,2.507678,NA
27.877251,2.767505,18.129616,13.454879,NA
23.597607,5.520492,17.666704,13.180181,NA
12.187444,14.870455,17.834092,NA,NA
15.172271,14.640474,17.715573,NA,-1.404249
32.085898,15.0369,18.060515,NA,3.890931
33.404977,13.842956,18.443455,NA,5.291747
NA,6.119076,18.377034,14.534384,5.523967
NA,5.482699,18.180381,3.231862,NA
NA,15.541345,18.069513,12.720496,NA
NA,17.181574,NA,12.877331,-1.413201
NA,NA,18.500635,14.440612,5.1757
26.355811,NA,19.160012,NA,NA
26.256781,NA,18.644319,14.361958,NA
25.207237,NA,18.140273,14.315494,5.096538
23.140166,15.659599,18.155785,14.211601,NA
23.167005,16.057938,18.539493,14.240334,NA
31.420384,15.897389,18.188629,14.313152,7.775333
NA,17.15256,17.910172,-0.931412,-3.959198
NA,17.440173,19.123783,NA,NA
NA,17.05603,18.510137,NA,NA
NA,NA,18.118376,12.623945,3.679627
11.922858,20.039141,17.953022,12.956817,2.545796
24.429092,19.249394,18.218659,12.702873,NA
18.956086,NA,17.915138,13.169576,NA
9.104516,NA,NA,14.394134,3.654097
9.741342,15.100443,18.071862,14.307404,7.392703
29.539957,14.477884,18.095592,NA,NA
31.332448,NA,14.580241,-0.013291,-1.876756
32.649394,14.843233,17.899489,-5.583876,3.702239
NA,15.013963,17.734584,-3.052313,NA
NA,14.667725,17.446899,NA,NA
16.405199,15.394803,17.679928,12.817013,NA
21.832499,14.370821,17.582964,12.7078,NA
18.553644,3.213557,13.545893,12.692919,2.553497
22.711316,8.128855,-3.34475,12.135638,3.267318
NA,17.145825,NA,7.83761,NA
NA,17.053228,-1.707919,14.471371,-6.192286
10.405697,17.174888,-6.58117,NA,7.418071
-6.395193,17.13081,3.427129,0.116709,5.560655
NA,9.186432,3.388514,1.314508,5.735195
NA,NA,26.362494,-0.10798,5.077178
NA,NA,21.279106,0.817092,NA
NA,NA,19.036059,-6.212296,-4.662245
NA,19.033705,17.071687,-2.035676,3.603553
22.532124,NA,17.52328,12.667619,2.727275
22.774636,NA,17.829532,NA,17.581494
23.580094,NA,17.944259,14.512943,18.725489
12.079835,NA,17.992811,14.39992,4.220268
NA,NA,18.654947,14.219154,17.059808
NA,13.130837,18.525021,-0.022394,17.022112
10.589277,13.26478,18.542431,-2.019587,16.32374
NA,17.027807,18.549951,-5.188046,16.305331
31.223929,17.076781,19.015108,-1.950313,18.77289
31.702054,17.286951,18.761717,-1.934768,18.1327
33.366052,27.042794,18.215535,-1.785197,8.611952
NA,NA,18.053562,-1.996454,19.447618
28.988403,NA,17.771467,-2.702159,15.958995
NA,NA,17.194583,-4.016503,17.901134
NA,NA,17.481742,-4.480366,3.421125
NA,14.864945,17.736174,-3.393911,3.180935
17.862437,NA,17.912405,-0.839099,NA
16.031722,NA,17.434579,-2.257174,17.815498
25.02338,NA,17.996345,0.594104,-2.576496
22.525219,NA,18.019578,12.956119,5.441049
19.996798,13.930701,17.637906,12.606511,20.413407
28.35416,NA,16.852381,14.258884,NA
28.088075,NA,16.76121,10.161135,21.273034
10.627535,NA,17.552212,14.317574,NA
NA,13.06662,17.458032,14.262686,16.881121
NA,NA,17.766314,14.173831,17.337621
NA,17.108,17.102381,14.407547,15.461824
NA,16.944533,17.103451,NA,16.949421
NA,25.883492,NA,NA,15.775584
NA,21.19899,-1.715092,0.248627,15.850733
30.946967,22.128314,2.948129,0.026396,17.127864
NA,NA,2.918051,1.350151,16.379182
NA,16.370299,25.688625,NA,17.977225
15.738479,NA,22.671633,-5.551548,NA
27.169615,14.627515,24.967557,-5.814784,NA
28.459147,NA,NA,-1.050155,NA
28.375452,3.966302,NA,6.928494,NA
28.899549,14.831863,17.586924,6.724579,NA
28.878511,14.353881,17.454369,6.779623,NA
28.260782,14.91008,13.271865,12.511087,NA
28.349474,17.217765,18.027588,NA,NA
28.40554,17.173969,18.603887,NA,NA
28.562032,17.166387,NA,NA,NA
26.961354,17.0294,17.543256,9.656732,17.25293
11.351945,NA,17.168241,14.105002,NA
NA,NA,17.418827,14.31811,NA
NA,NA,17.94105,NA,NA
NA,19.082828,17.069961,14.187059,NA
NA,21.787855,17.133229,4.664815,NA
30.072194,NA,17.51296,15.194678,NA
29.274861,NA,16.924201,14.83663,NA
NA,NA,17.375496,1.683598,NA
NA,1.70309,-0.407977,NA,NA
14.506598,13.382301,3.20985,-6.338786,NA
23.61296,NA,2.439309,-4.152622,20.046777
28.21088,NA,-3.640328,-6.61816,NA
28.206536,13.33233,20.142265,NA,NA
28.180133,14.409178,18.856964,13.289897,NA
28.322282,14.394635,17.434967,9.491041,NA
28.716718,NA,16.973145,14.548512,NA
28.584201,14.306167,17.018401,14.529529,NA
20.321757,NA,-14.511635,14.253869,16.976884
NA,NA,-5.574966,0.598168,NA
28.194084,NA,-13.59836,1.04885,NA
28.02393,14.523914,15.530735,-2.275492,NA
22.643327,13.447297,18.039514,-5.42802,NA
28.302989,14.919762,23.267104,-6.568568,NA
23.335596,13.491019,25.995729,-6.60213,NA
13.904673,12.532372,NA,13.358347,NA
14.344221,17.062495,NA,14.130355,NA
15.302672,17.17343,18.105435,-13.275819,16.573375
NA,17.167482,17.31915,1.79771,NA
NA,NA,17.259659,-5.445831,NA
NA,18.776277,15.928636,-6.134606,NA
NA,19.297924,16.426978,13.041114,NA
29.283098,18.577656,17.374886,NA,18.603843
28.935306,21.774077,16.837263,NA,15.155174
NA,15.497238,16.761438,14.359737,NA
27.131273,NA,15.12014,14.383534,NA
28.021131,15.485531,15.057489,14.404365,NA
21.14292,-5.649734,13.837952,NA,NA
NA,13.753924,17.507744,0.252369,NA
28.455403,13.981792,17.246344,0.015624,NA
28.108835,13.790228,13.746366,-4.459881,NA
28.753449,13.135836,15.469314,-4.688161,NA
28.023652,13.260644,13.246736,-4.060179,NA
24.114659,NA,15.662928,-1.584333,NA
25.383114,14.514356,-1.558607,-3.019786,NA
12.344523,14.354046,-2.939756,-4.001875,NA
NA,NA,19.289158,-5.566561,NA
NA,NA,18.264247,-5.227427,14.658161
33.470682,NA,23.41989,NA,15.455391
29.08149,NA,22.057649,NA,16.418786
NA,NA,24.441731,NA,NA
NA,14.804591,20.964227,NA,NA
NA,14.137786,25.0709,NA,NA
25.684164,6.348137,25.559402,NA,NA
27.749752,17.161745,14.94721,NA,19.710849
22.759744,17.148871,16.353774,NA,NA
11.856335,17.074939,21.964121,NA,NA
13.364423,3.504361,25.377133,14.389619,20.423434
24.420626,NA,23.308309,14.219067,NA
NA,NA,14.868673,13.881423,NA
31.366899,NA,15.660148,NA,5.896165
29.2199,18.51368,17.270022,NA,5.998705
NA,19.656112,17.427339,-13.933154,20.618438
NA,NA,NA,1.083803,21.563034
NA,NA,NA,0.526912,15.039416
27.249626,17.11794,17.261377,-3.38364,NA
NA,17.363792,17.133056,-3.002827,NA
25.340611,19.24545,17.478007,-1.480481,NA
NA,20.063203,18.009904,2.392201,NA
NA,17.562923,17.503875,4.35925,NA
33.730145,16.17641,17.251304,-1.549506,NA
29.295548,NA,10.463911,-4.353161,5.912521
29.285161,NA,NA,-3.676953,8.641358
NA,15.738402,NA,-3.498732,19.958664
NA,15.441675,-2.130924,-2.615922,19.86236
NA,NA,6.399963,-4.78688,17.971331
28.022746,NA,19.099744,-6.615575,NA
NA,17.141852,22.021905,-5.465783,17.786541
NA,16.886364,22.476432,-5.57678,NA
19.293543,17.060945,15.781426,-7.345474,NA
NA,17.123686,16.106358,-5.951645,NA
32.99029,17.14457,15.674771,-3.770864,NA
27.21969,11.14951,15.200386,-5.835847,NA
28.628593,26.291889,15.114602,-2.673789,NA
27.131141,24.615364,6.469596,NA,NA
NA,19.822604,15.192999,12.226709,6.339278
NA,NA,14.914571,NA,6.298212
27.318044,NA,16.134274,NA,NA
NA,9.857502,16.63799,NA,NA
NA,17.739022,16.380934,14.05464,NA
NA,17.078834,NA,-0.275672,NA
NA,9.165752,-0.20697,NA,NA
NA,13.417441,-4.865543,-0.16763,NA
NA,17.697777,20.574927,-0.25105,24.388277
NA,14.698333,20.639317,0.793169,NA
10.286571,15.768932,-1.652652,NA,6.507158
27.477849,15.938663,15.672445,12.260841,6.864057
18.489939,15.826395,NA,NA,NA
17.018575,5.920546,NA,12.194404,NA
16.642024,17.371948,NA,12.18304,NA
25.137715,17.321518,14.920569,NA,NA
32.265684,17.076858,NA,12.122374,NA
32.443475,17.077706,16.877229,NA,13.550873
NA,17.057081,16.850572,11.867783,25.420577
27.783532,22.880873,18.054752,NA,24.832061
NA,23.43715,17.951301,NA,1.412478
NA,NA,NA,NA,6.046392
NA,23.925722,-0.26065,NA,6.0228
